CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value,prediction
13085,57,3,84,0,2859271.61,1,4,138,522,579,145.25,168.6838759,0,0,1,0
12931,1,3,196,0,2354751.13,1,4,19,26,102,16.76315789,17.42386405,0,0,1,1
13599,56,3,232,0,2202580.71,1,4,42,85,127,44.76923077,26.94486298,0,0,1,0
12758,16,3,313,0,2513379.37,1,4,160,343,432,103.6666667,60.45714736,0,0,1,0
13381,13,3,300,0,2454521.59,1,4,34,94,185,69.44444444,22.75473089,0,0,1,1
13777,29,3,278,0,5280817.69,1,4,20,36,55,16,8.92915056,0,0,1,1
16131,15,3,195,0,2180393.18,1,4,92,124,260,103.6666667,55.00060606,0,0,1,0
14299,7,3,268,0,2526856.5,1,4,211,223,230,31.5,43.70294462,0,0,1,0
13654,45,3,272,0,2017773.55,1,4,56,97,128,74,49.11502534,0,0,1,0
16210,16,3,203,0,1950395.42,1,4,97,104,193,28.22727273,30.18030234,0,0,1,0
16525,17,3,309,0,2800773.93,1,4,21,40,46,15.12195122,8.792596664,0,0,1,2
12779,89,3,224,0,2420181.49,1,4,9,59,80,45.58333333,32.95577845,0,0,1,0
15291,72,3,224,0,2735211.4,1,4,8,75,80,16.58823529,16.98148305,0,0,1,0
14051,13,3,232,0,3562878.78,1,4,28,44,60,23.96153846,19.96493079,0,0,1,1
13993,0,3,233,0,2386735.59,1,4,45,105,138,45.42857143,14.90335164,0,0,1,1
17069,55,3,220,0,1846411.18,1,4,71,87,199,72.625,59.73258862,0,0,1,0
16168,3,3,271,0,1947326.04,1,4,12,25,42,14.06666667,13.64384643,0,0,1,2
13037,38,3,232,0,1783681.02,1,4,81,118,261,59.8,33.19906291,0,0,1,0
16722,6,3,300,0,2417960.76,1,4,34,50,77,37.05882353,21.14080943,0,0,1,2
14258,51,3,276,0,2773170.94,1,4,48,94,113,30.73684211,11.82672165,0,0,1,0
12759,71,3,273,0,2510863.32,1,4,104,215,266,94,46.44997309,0,0,1,0
13162,22,3,238,0,2080607.24,1,4,62,111,212,40.86666667,27.60400247,0,0,1,0
13021,66,3,184,0,2165327.52,1,4,49,97,192,51.63636364,34.25280347,0,0,1,0
15240,91,3,188,0,2406591.55,1,4,50,120,183,60.33333333,39.59797975,0,0,1,0
14709,12,3,299,0,2534464.66,1,4,18,37,75,34.55555556,12.05000475,0,0,1,2
13373,58,3,306,0,1929133.71,1,4,118,257,463,143.75,43.08421985,0,0,1,0
15641,5,3,311,0,2174097.94,1,4,155,177,254,57.09090909,40.44367576,0,0,1,0
13491,47,3,253,0,2327888.75,1,4,100,116,133,23.4,18.50450396,0,0,1,0
14307,34,3,226,0,1806187.85,1,4,85,190,239,85.42857143,35.46762441,0,0,1,1
12747,9,3,216,0,1937581.72,1,4,55,89,109,28.31818182,17.95599479,0,0,1,1
12523,7,3,206,0,1895134.16,1,4,3,28,145,34.72222222,28.62907933,0,0,1,1
16717,62,3,216,0,1776474.57,1,4,10,204,218,71.25,67.9973739,0,0,1,0
16029,7,3,303,0,2673846.76,1,4,7,19,27,10.2295082,6.479180613,0,0,1,2
15093,16,3,304,0,2967138.19,1,4,90,171,222,34.16666667,23.88514182,0,0,1,0
13576,13,3,207,0,2910789.06,1,4,25,48,63,29.42857143,12.77329804,0,0,1,2
15203,5,3,306,0,2696890.77,1,4,31,93,206,56.90909091,23.50512517,0,0,1,0
13136,42,3,253,0,1903030.07,1,4,70,233,278,98.16666667,46.12772124,0,0,1,0
14732,43,3,224,0,1881962.1,1,4,43,77,140,41.92857143,26.84847592,0,0,1,0
13426,82,3,269,0,2773292.19,1,4,56,72,154,36.53333333,23.18825647,0,0,1,0
15465,38,3,233,0,2184674.23,1,4,21,42,95,21.10714286,22.2166759,0,0,1,0
16143,8,3,200,0,1978000.31,1,4,104,195,246,62.1,26.69352814,0,0,1,0
16985,57,3,201,0,2443564.49,1,4,54,111,156,40.85714286,25.98181951,0,0,1,0
14062,12,3,318,0,2352783.59,1,4,32,64,127,34.27777778,24.9842434,0,0,1,1
15769,1,3,179,0,2045615.7,1,4,6,54,71,19,14.37228235,0,0,1,2
15144,13,3,226,0,2428593.01,1,4,24,42,104,38.3125,25.10436549,0,0,1,1
15628,28,3,221,0,2773888.65,1,4,54,127,238,54.36363636,26.24984848,0,0,1,0
14032,68,3,183,0,2352716.83,1,4,38,73,107,55.7,62.14686905,0,0,1,0
13756,29,3,278,0,1890502.72,1,4,14,54,76,39.66666667,39.19851795,0,0,1,1
15785,57,3,197,0,1860250.81,1,4,40,138,222,56.7,20.96584524,0,0,1,0
12971,7,3,308,0,2207781.99,1,4,3,7,19,8.012987013,8.795174374,0,0,1,2
15312,3,3,154,0,1815758.71,1,4,112,251,280,62,49.18220094,0,0,1,0
14869,3,3,223,0,1861109.83,1,4,285,371,560,155,103.024269,0,0,1,0
13769,22,3,225,0,2113856.28,1,4,85,113,133,42.92857143,20.88232335,0,0,1,1
17469,8,3,232,0,1932586.92,1,4,49,96,292,55.90909091,50.61117376,0,0,1,1
14092,31,3,298,0,1757669.66,1,4,39,65,105,34.82352941,15.02595793,0,0,1,1
13875,33,3,247,0,2442666.6,1,4,51,124,168,53.54545455,17.92408233,0,0,1,0
13266,12,3,237,0,2040800.23,1,4,46,73,91,43.57142857,40.80670059,0,0,1,1
17612,12,3,291,0,2740067.49,1,4,36,102,185,43.57142857,21.09580449,0,0,1,1
16150,28,3,179,0,1895329.44,1,4,142,244,329,84.85714286,32.64673833,0,0,1,0
12708,1,3,258,0,1892709.88,1,4,78,99,131,44.28571429,16.55493685,0,0,1,1
13995,15,3,198,0,1895350.22,1,4,26,130,264,55.09090909,35.33399085,0,0,1,0
13327,12,3,300,0,3138482.79,1,4,32,73,147,35.82352941,18.40935664,0,0,1,0
13871,12,3,279,0,2064113.62,1,4,22,50,94,55.18181818,40.44210227,0,0,1,0
14210,5,3,314,0,2215924.89,1,4,92,122,191,42.64285714,22.83926155,0,0,1,0
15874,77,3,309,0,2662245.52,1,4,40,68,79,37.42857143,28.4597267,0,0,1,0
13854,6,3,152,0,2043971.61,1,4,36,51,90,19.16129032,16.73339331,0,0,1,2
13562,41,3,167,0,1947806.23,1,4,104,260,387,110.6,54.3948527,0,0,1,0
12877,24,3,193,0,1854802.87,1,4,53,76,94,35.375,21.21595312,0,0,1,1
16954,24,3,192,0,1797102.87,1,4,130,146,235,40.42857143,31.82817882,0,0,1,0
14388,21,3,316,0,2307247.64,1,4,33,82,160,47.25,20.83757533,0,0,1,1
14064,13,3,216,0,2042157.19,1,4,98,140,161,47.83333333,42.41747782,0,0,1,0
17419,43,3,224,0,1982646.42,1,4,106,123,133,45,29.93325909,0,0,1,0
13048,13,3,235,0,1893781.02,1,4,125,214,323,81.14285714,32.58541888,0,0,1,0
16320,72,3,241,0,2733332.69,1,4,41,281,341,101.8,98.68485193,0,0,1,0
17146,5,3,301,0,2159568.63,1,4,158,253,330,47.5,44.97575104,0,0,1,0
17690,1,3,293,0,2213188.94,1,4,85,86,100,40.92857143,58.38659526,0,0,1,1
13985,7,3,287,0,1996803.47,1,4,13,20,49,43.15384615,40.94680727,0,0,1,1
16839,9,3,274,0,2014732.57,1,4,12,22,31,18.56666667,14.74070913,0,0,1,1
13291,55,3,318,0,2258392.47,1,4,259,273,287,51.1,74.40049283,0,0,1,0
16553,63,3,292,0,1825088.8,1,4,42,69,111,33.53333333,30.36884368,0,0,1,0
13815,72,3,316,0,2725987.28,1,4,146,234,292,98.6,33.29864862,0,0,1,0
