year,All_movies,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,(no genres listed)
1874.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1878.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1880.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1883.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1887.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1888.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1890.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1891.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
1892.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1894.0,22,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0
1895.0,15,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0
1896.0,22,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0
1897.0,13,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0
1898.0,14,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
1899.0,8,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1900.0,22,0.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0
1901.0,12,0.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
1902.0,6,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1903.0,26,1.0,0.0,0.0,7.0,11.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0
1904.0,11,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1905.0,10,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1906.0,17,0.0,2.0,0.0,9.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
1907.0,18,1.0,0.0,0.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1908.0,17,0.0,2.0,0.0,8.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1909.0,16,0.0,0.0,0.0,6.0,5.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1910.0,11,1.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
1911.0,11,1.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0
1912.0,19,2.0,2.0,0.0,4.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0
1913.0,15,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
1914.0,42,4.0,1.0,4.0,28.0,4.0,2.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
1915.0,28,1.0,2.0,1.0,10.0,2.0,2.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
1916.0,37,2.0,1.0,0.0,14.0,1.0,5.0,14.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0
1917.0,26,2.0,0.0,0.0,13.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0
1918.0,20,0.0,0.0,0.0,9.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
1919.0,30,2.0,0.0,0.0,13.0,2.0,4.0,15.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0
1920.0,36,4.0,1.0,0.0,15.0,2.0,6.0,16.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0
1921.0,48,3.0,5.0,0.0,24.0,3.0,10.0,20.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
1922.0,46,2.0,4.0,2.0,11.0,2.0,10.0,14.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,10.0
1923.0,30,1.0,2.0,0.0,11.0,1.0,7.0,16.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
1924.0,42,6.0,3.0,0.0,10.0,5.0,8.0,21.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0
1925.0,52,6.0,2.0,1.0,17.0,1.0,14.0,25.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,7.0
1926.0,66,4.0,1.0,0.0,19.0,4.0,23.0,35.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,6.0,4.0,0.0,3.0,0.0,5.0
