userID,itemID,prediction,name,category,calories,fat,protein,sugars
943,176,0.9009560942649841,Blue Cheese,Dairy and Egg Products,353,28.74,21.4,0.5
943,82,0.8596874475479126,Martini Flavored,Beverages,189,0.03,0.09,5.15
943,89,0.8236638307571411,Rum And Cola,Beverages,89,0.19,0.0,7.48
943,29,0.7920397520065308,Beans Chili Barbecue Ranch Style Cooked,Beans and Lentils,97,1.0,5.0,5.25
943,183,0.7867189645767212,Cottage Cheese (Blended),Dairy and Egg Products,98,4.3,11.12,2.67
943,144,0.7493667006492615,Frozen Mocha Coffee Drink Decaffeinated,Coffee,66,0.91,1.49,12.3
943,4,0.7312739491462708,Bread Stuffing Cornbread Dry Mix,Baked Foods,389,4.2,10.0,13.16
943,33,0.6827787160873413,Chicken Meatless,Beans and Lentils,224,12.73,23.64,0.0
943,7,0.5833441615104675,Bread Wheat Sprouted Toasted,Baked Foods,205,0.0,14.3,2.86
943,227,0.566520094871521,Egg White Omelet Scrambled Or Fried Made With Margarine,Dairy and Egg Products ,108,6.21,11.5,0.75
942,294,0.8095376491546631,Shrimp Cooked Ns As To Cooking Method,Fish,212,11.6,15.15,0.91
942,288,0.801616907119751,Scallops Coated Baked Or Broiled Fat Not Added In Cooking,Fish,134,1.22,13.82,1.14
942,286,0.7769133448600769,Scallops Baked Or Broiled Fat Not Added In Cooking,Fish,85,0.6,14.81,0.04
942,56,0.654626190662384,Peas Dry Cooked With Pork,Beans and Lentils,169,7.41,9.23,2.24
942,302,0.6287624835968018,Blackberries Canned Heavy Syrup Solids And Liquids,Fruits,92,0.14,1.31,19.7
942,173,0.6237207651138306,Cookies Vanilla Sandwich With Creme Filling,Cookies,483,20.0,4.5,39.3
942,333,0.6109722256660461,Raisins Seeded,Fruits,296,0.54,2.52,0.0
942,268,0.5847381949424744,Crab Hard Shell Steamed,Fish,82,0.74,17.76,0.0
942,22,0.542900800704956,English Muffins Plain Enriched With Ca Prop (Includes Sourdough),Baked Foods,227,1.69,8.87,3.53
942,289,0.520675539970398,Scallops Coated Fried,Fish,211,11.14,13.78,0.91
941,237,0.9133399128913879,Burger King Cheeseburger,Fast Foods,286,14.81,14.57,4.49
941,50,0.9061832427978516,Loaf Lentil,Beans and Lentils,72,2.41,2.2,1.67
941,121,0.8630922436714172,Quaker Quaker Multigrain Oatmeal Dry,Breakfast Cereals,334,2.73,12.64,2.46
941,282,0.7721145153045654,Oysters Steamed,Fish,102,3.4,11.37,1.24
941,127,0.7691700458526611,Coffee Cafe Con Leche,Coffee,39,1.08,1.64,4.93
941,9,0.7616509199142456,Bread Whole-Wheat Prepared From Recipe Toasted,Baked Foods,305,5.9,9.2,4.22
941,100,0.7452845573425293,Cereal (Kellogg's Froot Loops Marshmallow),Breakfast Cereals,376,2.79,4.59,49.9
941,118,0.7255281209945679,Oatmeal From Fast Food Plain,Breakfast Cereals,79,2.4,2.6,0.69
941,125,0.6838079690933228,Coffee Bottled/canned Light,Coffee,35,0.72,1.25,5.97
941,255,0.6524843573570251,Popeyes Fried Chicken Mild Wing Meat And Skin With Breading,Fast Foods,338,22.48,20.4,0.0
940,127,0.6914753913879395,Coffee Cafe Con Leche,Coffee,39,1.08,1.64,4.93
940,135,0.5645188689231873,Coffee Instant Reconstituted,Coffee,3,0.0,0.1,0.0
940,197,0.5484111309051514,Ice Cream Cone Chocolate Covered With Nuts Flavors Other Than Chocolate,Dairy and Egg Products,354,21.88,5.21,25.0
940,185,0.5192233920097351,Egg Duck Whole Fresh Raw,Dairy and Egg Products,185,13.77,12.81,0.93
940,210,0.5014670491218567,Neufchatel Cheese,Dairy and Egg Products,253,22.78,9.15,3.19
940,79,0.48857757449150085,Manhattan,Beverages,222,0.0,0.03,1.03
940,83,0.4774526357650757,Mimosa,Beverages,65,0.06,0.38,4.74
940,22,0.4595302641391754,English Muffins Plain Enriched With Ca Prop (Includes Sourdough),Baked Foods,227,1.69,8.87,3.53
940,134,0.45893821120262146,Coffee Iced Latte,Coffee,27,1.05,1.72,2.6
940,234,0.45572933554649353,Kefir Ns As To Fat Content,Dairy and Egg Products ,52,0.92,3.59,6.91
939,294,0.9513590335845947,Shrimp Cooked Ns As To Cooking Method,Fish,212,11.6,15.15,0.91
939,288,0.9178847670555115,Scallops Coated Baked Or Broiled Fat Not Added In Cooking,Fish,134,1.22,13.82,1.14
939,117,0.885947585105896,Oatmeal From Fast Food Maple Flavored,Breakfast Cereals,109,2.2,2.4,9.95
939,1,0.8665591478347778,Bread Cinnamon,Baked Foods,253,5.29,7.05,14.11
939,245,0.8475625514984131,Kfc Fried Chicken Original Recipe Thigh Meat Only Skin And Breading Removed,Fast Foods,175,9.31,22.78,0.0
939,282,0.8398041725158691,Oysters Steamed,Fish,102,3.4,11.37,1.24
939,125,0.833050549030304,Coffee Bottled/canned Light,Coffee,35,0.72,1.25,5.97
939,276,0.8261862993240356,Lobster Cooked Ns As To Cooking Method,Fish,88,0.85,18.88,0.0
939,111,0.8213928937911987,Cream Of Wheat Instant Made With Non-Dairy Milk Ns As To Fat Added In Cooking,Breakfast Cereals,106,3.01,2.39,6.15
939,286,0.7914870381355286,Scallops Baked Or Broiled Fat Not Added In Cooking,Fish,85,0.6,14.81,0.04
938,282,0.9809285402297974,Oysters Steamed,Fish,102,3.4,11.37,1.24
938,294,0.942009449005127,Shrimp Cooked Ns As To Cooking Method,Fish,212,11.6,15.15,0.91
938,147,0.8719133138656616,Iced Coffee Brewed,Coffee,1,0.02,0.09,0.0
938,249,0.8017978668212891,McDonalds Bacon Egg & Cheese Biscuit,Fast Foods,304,18.77,13.45,2.18
938,283,0.6895750164985657,Salmon Baked Or Broiled Made With Oil,Fish,188,9.06,25.08,0.04
938,246,0.666960597038269,Kfc Fried Chicken Original Recipe Wing Meat And Skin With Breading,Fast Foods,297,18.9,21.7,0.0
938,24,0.6532533168792725,Bean Cake,Beans and Lentils,408,21.2,5.63,20.37
938,293,0.6175330281257629,Shrimp Baked Or Broiled Made With Oil,Fish,117,4.79,16.24,0.03
938,287,0.6074225902557373,Scallops Coated Baked Or Broiled Fat Added In Cooking,Fish,177,6.63,13.21,1.09
938,124,0.556386411190033,Whole Wheat Cereal Cooked Fat Added In Cooking,Breakfast Cereals,60,1.81,1.53,0.06
937,15,0.8173834085464478,Cheese Croissants,Baked Foods,414,20.9,9.2,11.35
937,127,0.8009215593338013,Coffee Cafe Con Leche,Coffee,39,1.08,1.64,4.93
937,1,0.7681151628494263,Bread Cinnamon,Baked Foods,253,5.29,7.05,14.11
937,288,0.7509302496910095,Scallops Coated Baked Or Broiled Fat Not Added In Cooking,Fish,134,1.22,13.82,1.14
937,276,0.7472431659698486,Lobster Cooked Ns As To Cooking Method,Fish,88,0.85,18.88,0.0
937,7,0.7431362867355347,Bread Wheat Sprouted Toasted,Baked Foods,205,0.0,14.3,2.86
937,269,0.7084288597106934,Crab Soft Shell Coated Fried,Fish,223,11.36,18.93,0.91
937,286,0.704027533531189,Scallops Baked Or Broiled Fat Not Added In Cooking,Fish,85,0.6,14.81,0.04
937,245,0.7020851373672485,Kfc Fried Chicken Original Recipe Thigh Meat Only Skin And Breading Removed,Fast Foods,175,9.31,22.78,0.0
937,25,0.6844788789749146,Beans And Franks,Beans and Lentils,138,5.22,6.74,6.17
936,15,0.9464248418807983,Cheese Croissants,Baked Foods,414,20.9,9.2,11.35
936,126,0.8423416018486023,Coffee Brewed Blend Of Regular And Decaffeinated,Coffee,0,0.01,0.11,0.0
936,245,0.8288079500198364,Kfc Fried Chicken Original Recipe Thigh Meat Only Skin And Breading Removed,Fast Foods,175,9.31,22.78,0.0
936,288,0.825757622718811,Scallops Coated Baked Or Broiled Fat Not Added In Cooking,Fish,134,1.22,13.82,1.14
936,151,0.8161827921867371,Cookies Butter Commercially Prepared Enriched,Cookies,467,18.8,6.1,20.24
936,150,0.8098490238189697,Cookies Brownies Commercially Prepared,Cookies,405,16.3,4.8,36.61
936,283,0.7727054357528687,Salmon Baked Or Broiled Made With Oil,Fish,188,9.06,25.08,0.04
936,222,0.7266537547111511,Egg Creamed,Dairy and Egg Products ,150,10.59,7.7,2.92
936,147,0.6560395956039429,Iced Coffee Brewed,Coffee,1,0.02,0.09,0.0
936,293,0.6175934672355652,Shrimp Baked Or Broiled Made With Oil,Fish,117,4.79,16.24,0.03
935,50,0.9385656118392944,Loaf Lentil,Beans and Lentils,72,2.41,2.2,1.67
935,7,0.887134313583374,Bread Wheat Sprouted Toasted,Baked Foods,205,0.0,14.3,2.86
935,258,0.885749101638794,Popeyes Spicy Chicken Strips Analyzed 2006,Fast Foods,253,11.2,19.61,0.0
935,222,0.8060503005981445,Egg Creamed,Dairy and Egg Products ,150,10.59,7.7,2.92
935,111,0.7875769138336182,Cream Of Wheat Instant Made With Non-Dairy Milk Ns As To Fat Added In Cooking,Breakfast Cereals,106,3.01,2.39,6.15
935,25,0.7870129346847534,Beans And Franks,Beans and Lentils,138,5.22,6.74,6.17
935,294,0.7859233617782593,Shrimp Cooked Ns As To Cooking Method,Fish,212,11.6,15.15,0.91
935,298,0.7734891176223755,Tuna Noodle Casserole With Cream Or White Sauce,Fish,169,7.52,10.19,2.1
935,151,0.7602197527885437,Cookies Butter Commercially Prepared Enriched,Cookies,467,18.8,6.1,20.24
935,276,0.758995771408081,Lobster Cooked Ns As To Cooking Method,Fish,88,0.85,18.88,0.0
934,98,0.967380166053772,Cereal (General Mills Cheerios Fruity),Breakfast Cereals,381,4.59,5.8,32.2
934,194,0.9172248840332031,High Fat Milk (3.7% Fat),Dairy and Egg Products,64,3.66,3.28,0.0
934,143,0.8938298225402832,Frozen Mocha Coffee Drink,Coffee,66,0.91,1.48,12.24
934,133,0.8400782942771912,Coffee Iced Cafe Mocha,Coffee,50,0.95,1.55,8.07
